studentID,problemID,time,option1selected,option1correct,option2selected,option2correct,option3selected,option3correct,option4selected,option4correct,option5selected,option5correct
323,3,54:15.1,t,t,f,f,f,t,f,f,t,t
338,3,16:52.7,t,t,t,t,t,f,f,f,t,t
385,3,44:05.1,f,f,t,t,t,f,f,f,f,f
287,28,32:58.4,t,t,f,t,t,t,t,t,t,t
204,3,22:09.8,t,t,t,t,f,t,t,t,t,t
284,30,17:23.9,t,t,f,t,t,t,t,t,t,t
338,3,33:15.1,t,t,t,t,f,t,t,t,t,t
234,3,32:48.7,t,t,t,t,f,t,t,t,f,f
290,27,08:11.2,t,t,f,f,,,,,,
253,3,07:03.1,f,f,t,t,f,t,t,t,f,f
323,3,54:06.0,t,t,f,f,t,f,f,f,f,f
380,31,38:57.1,t,t,f,f,,,,,,
263,28,23:45.9,f,f,f,t,t,t,t,t,f,f
382,30,18:17.9,t,t,f,t,t,t,t,t,t,t
298,27,12:03.4,t,t,f,f,,,,,,
369,3,40:06.4,t,t,t,t,f,t,t,t,t,t
262,30,43:37.2,t,t,f,t,t,t,t,t,t,t
351,3,16:18.5,t,t,t,t,f,t,t,t,t,t
324,30,16:08.2,t,t,f,t,f,f,f,f,f,f
305,27,01:10.1,f,f,t,t,,,,,,
350,3,29:03.0,f,f,t,t,f,t,f,f,t,t
201,3,09:28.8,t,t,t,t,f,t,t,t,f,f
231,3,54:48.9,f,f,t,t,f,t,t,t,f,f
347,27,58:07.2,t,t,f,f,,,,,,
357,28,42:10.3,t,t,f,t,t,t,t,t,t,t
215,27,32:01.6,t,t,f,f,,,,,,
298,28,04:34.0,t,t,t,f,t,t,t,t,f,f
214,3,54:28.8,t,t,f,f,f,t,t,t,f,f
253,3,04:59.5,t,t,f,f,f,t,f,f,f,f
324,27,15:48.4,t,t,f,f,,,,,,
284,31,26:35.7,t,t,f,f,,,,,,
270,31,00:43.6,t,t,f,f,,,,,,
243,28,19:05.4,t,t,t,f,t,t,t,t,t,t
350,3,34:18.2,t,t,f,f,f,t,f,f,t,t
276,31,16:48.7,t,t,f,f,,,,,,
373,28,58:53.3,t,t,f,t,t,t,t,t,t,t
254,3,51:37.4,t,t,t,t,t,f,f,f,f,f
338,3,32:29.6,f,f,f,f,t,f,t,t,f,f
381,29,00:57.5,t,t,t,t,f,t,t,t,t,t
375,30,17:56.3,t,t,f,t,t,t,t,t,t,t
358,3,31:42.7,t,t,f,f,f,t,t,t,f,f
298,28,04:33.6,t,t,t,f,t,t,t,t,f,f
325,27,37:33.9,t,t,f,f,,,,,,
278,3,07:06.5,t,t,t,t,t,f,t,t,t,t
274,3,23:57.2,f,f,t,t,f,t,t,t,t,t
327,3,18:33.2,t,t,t,t,f,t,f,f,f,f
327,3,15:27.1,t,t,f,f,t,f,f,f,f,f
325,28,36:25.4,f,f,f,t,t,t,t,t,f,f
381,30,31:10.9,f,f,t,f,t,t,t,t,t,t
290,3,10:46.6,t,t,f,f,t,f,f,f,f,f
295,3,21:42.3,t,t,t,t,f,t,t,t,t,t
361,28,39:13.2,t,t,f,t,t,t,t,t,t,t
247,3,29:24.4,f,f,f,f,t,f,f,f,f,f
374,3,37:26.8,f,f,f,f,f,t,t,t,f,f
200,30,23:49.3,f,f,f,t,t,t,f,f,f,f
374,28,29:38.3,t,t,f,t,t,t,t,t,t,t
257,3,18:49.3,t,t,t,t,f,t,f,f,t,t
211,28,18:52.8,t,t,f,t,t,t,t,t,t,t
374,3,39:58.6,t,t,f,f,t,f,t,t,f,f
285,30,26:48.5,t,t,f,t,f,f,f,f,t,t
373,27,08:37.5,t,t,t,t,,,,,,
244,28,23:17.9,t,t,t,f,f,f,t,t,f,f
330,30,15:19.6,t,t,f,t,t,t,f,f,f,f
324,30,15:59.1,f,f,f,t,f,f,t,t,f,f
303,30,34:19.2,f,f,f,t,f,f,f,f,t,t
365,3,06:06.0,t,t,f,f,f,t,f,f,t,t
251,28,35:03.2,t,t,t,f,t,t,t,t,f,f
201,3,10:18.8,f,f,t,t,f,t,t,t,f,f
333,28,13:38.3,t,t,f,t,f,f,f,f,f,f
341,30,46:34.0,t,t,f,t,t,t,t,t,t,t
276,30,19:07.1,t,t,f,t,t,t,f,f,t,t
374,3,38:44.6,f,f,f,f,f,t,t,t,f,f
313,3,48:58.4,t,t,f,f,f,t,t,t,f,f
209,3,54:35.7,t,t,t,t,f,t,t,t,f,f
297,3,19:25.2,t,t,t,t,f,t,t,t,t,t
285,30,27:28.6,t,t,t,f,t,t,f,f,t,t
276,29,29:53.8,t,t,t,t,f,t,t,t,t,t
323,3,56:11.6,f,f,f,f,f,t,t,t,t,t
299,3,11:21.1,t,t,f,f,t,f,t,t,f,f
323,3,55:59.5,f,f,t,t,f,t,t,t,t,t
245,3,11:07.0,t,t,t,t,t,f,f,f,t,t
385,3,44:13.3,f,f,t,t,f,t,f,f,f,f
249,29,59:44.7,t,t,t,t,f,t,t,t,t,t
285,30,26:59.8,f,f,t,f,t,t,f,f,t,t
351,27,12:02.9,t,t,f,f,,,,,,
343,3,20:03.0,t,t,f,f,t,f,f,f,t,t
388,27,13:58.3,t,t,f,f,,,,,,
278,3,07:43.7,t,t,t,t,t,f,f,f,f,f
276,28,10:36.9,f,f,t,f,f,f,t,t,t,t
323,3,54:01.0,t,t,f,f,t,f,t,t,f,f
254,3,50:51.0,t,t,t,t,t,f,f,f,t,t
290,3,22:01.3,t,t,f,f,f,t,t,t,f,f
290,3,14:34.3,f,f,t,t,t,f,f,f,f,f
234,3,32:46.1,t,t,f,f,f,t,t,t,f,f
390,30,49:29.4,f,f,f,t,t,t,f,f,f,f
209,28,09:24.5,t,t,f,t,t,t,t,t,t,t
240,28,28:33.7,t,t,f,t,t,t,t,t,t,t
323,3,53:53.4,t,t,t,t,t,f,t,t,f,f
373,3,11:15.3,t,t,t,t,t,f,f,f,f,f
298,28,32:51.5,t,t,f,t,t,t,t,t,t,t
227,3,19:48.0,t,t,t,t,f,t,t,t,f,f
327,3,03:37.8,f,f,f,f,f,t,f,f,t,t
279,27,27:53.6,t,t,f,f,,,,,,
201,28,18:16.7,t,t,f,t,t,t,t,t,t,t
259,3,00:23.5,t,t,t,t,t,f,f,f,t,t
327,3,03:24.8,t,t,t,t,f,t,f,f,t,t
245,3,09:09.4,f,f,f,f,t,f,f,f,f,f
254,3,52:13.5,t,t,t,t,t,f,f,f,t,t
277,3,48:59.1,f,f,f,f,f,t,f,f,f,f
