id,primitive_type,printing_symbol
1,char,%c
2,signed char,%d -> %c
3,unsigned char,%u -> %c
4,short,%d
5,short int,%d
6,signed short,%d
7,signed short int,%c
8,unsigned short,%u
9,unsigned short int,%u
10,int,%d
11,signed int,%d
12,unsigned,%u
13,unsigned int,%u
14,long,%ld
15,long int,%ld
16,signed long,%ld
17,signed long int,%ld
18,unsigned long,%lu
19,unsigned long int,%lu
20,long long,%lld
21,long long int,%lld
22,signed long long,%lld
23,signed long long int,%lld
24,unsigned long long,%llu
25,unsigned long long int,%llu
26,float,%f
27,double,%f
28,long double,%lf
29,void*,%p
30,void,no
